Strategy,CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity
Original (>=2 signals),0.2766792380292231,0.3028239984228134,0.9136635123710174,-0.408279776752857,70,2668.0,26.5782860540288
"Short-term only (5,20)",0.09677600738256431,0.27164872069370194,0.3562542357476599,-0.6129500256831545,210,2082.0,3.4572170184403106
"Medium-term only (10,50)",0.2218353080142954,0.28042111395942837,0.7910791911567358,-0.4432181813246009,81,2179.0,14.738587628361309
"Long-term only (50,200)",0.19995164167085,0.28958006612196063,0.6904882796270846,-0.38271890527846325,16,2588.0,11.562613103798661
Short OR Long,0.2912722545165871,0.3396765809589948,0.8574987822070342,-0.5057943658401001,44,3020.0,30.96069624759752
Short AND Medium,0.09803418539338815,0.23911396549416444,0.40998937552972275,-0.48030056180513053,173,1695.0,3.5108558226043924
Long AND VeryLong,0.18457597022121042,0.2505173132137728,0.7367792982184311,-0.35747282947445824,33,2159.0,9.723998998534642
>=3 of 4 signals,0.17875740094353243,0.2528403954081093,0.7069969996487324,-0.3541057753364377,93,2079.0,9.101816882133347
All 4 signals,0.019882348268426275,0.1844478362866139,0.10779388182971715,-0.5252062139632431,145,1355.0,1.302612664328621
Buy & Hold,0.2352367681814027,0.39857996152480607,0.5901871415750098,-0.7673609035568429,0,3384.0,17.063741150799377
