Strategy,CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity
Original (>=2 signals),0.22086553142967502,0.30818505024414505,0.716665299808361,-0.7352620830162885,124,5003.0,171.70856827193953
"Short-term only (5,20)",0.1745248893121738,0.25642540205652886,0.6806068662171771,-0.5118418570771299,366,3975.0,63.30636186737081
"Medium-term only (10,50)",0.1873751556604466,0.28360094890250076,0.6607000307494189,-0.7235412915308199,166,4166.0,83.81152910696436
"Long-term only (50,200)",0.20098809996837486,0.2754369128826904,0.729706479298134,-0.5921148686691439,26,4658.0,112.45073572688685
Short OR Long,0.27779846172698486,0.32137984750020754,0.8643929104073816,-0.5485024642499631,116,5657.0,556.1705930021436
Short AND Medium,0.1457016827246056,0.22329266294158487,0.6525144212316655,-0.4783059828002669,296,3292.0,33.35816367946066
Long AND VeryLong,0.19775075008708498,0.24523879392264578,0.8063599845849035,-0.4656743127998854,64,3892.0,104.89020352698512
>=3 of 4 signals,0.19541547771259982,0.24033104691642018,0.813109584549679,-0.3940110741248125,186,3863.0,99.74233979784485
All 4 signals,0.09352310947970155,0.17944759750752667,0.5211722574094583,-0.4471174882891692,228,2489.0,10.0278267731833
Buy & Hold,0.2509755666213229,0.3861933023146229,0.6498703243094021,-0.8180144257519922,0,6498.0,321.8329285857685
