Strategy,CAGR,Volatility,Sharpe,MaxDD,Total_Trades,Days_in_Position,Final_Equity
Original (>=2 signals),0.16706268130608626,0.2379379590894403,0.7021270668430328,-0.4090803325614258,118,4093.0,26.34466495134853
"Short-term only (5,20)",0.13384147324911488,0.21597030828095545,0.619721638193898,-0.48827918004417986,318,3206.0,14.293023842493946
"Medium-term only (10,50)",0.14484165374333635,0.21734989529651086,0.6663985439042515,-0.4001998213175794,128,3366.0,17.535211418065888
"Long-term only (50,200)",0.1301897847726936,0.22678281443916276,0.5740725332060759,-0.44640172169677983,28,3809.0,13.349325693471831
Short OR Long,0.17721330097760712,0.26669391063974096,0.6644819919304148,-0.5462002577093887,110,4671.0,31.646807453865055
Short AND Medium,0.09501194406940483,0.1862792779609822,0.510051064774397,-0.3312154275266984,256,2589.0,6.83405769633312
Long AND VeryLong,0.10604951027881926,0.19482450516291502,0.5443335282188406,-0.37679388490979276,60,2995.0,8.451019470902668
>=3 of 4 signals,0.12205843685416351,0.19512388807234446,0.6255432795030659,-0.3000917180529667,152,3075.0,11.45665534156164
All 4 signals,0.05506412011273221,0.1463908293153483,0.3761446012039159,-0.38955480062382136,192,1839.0,3.1111467579838794
Buy & Hold,0.2500143118503819,0.3066473775566967,0.8153153431229205,-0.652947664133661,0,5336.0,112.75514247355223
